,Humedad,fecha
0,1.059129,07/31/2021--12:49:20
1,4.132597,07/31/2021--12:49:25
2,0.3406286,07/31/2021--12:49:31
3,1.006303,07/31/2021--12:49:35
4,4.219098,07/31/2021--12:49:40
5,2.672598,07/31/2021--12:49:45
6,2.496848,07/31/2021--12:49:51
7,1.823609,07/31/2021--12:49:55
8,0.004510283,07/31/2021--12:50:00
9,2.969537,07/31/2021--12:50:06
10,2.082893,07/31/2021--12:50:11
11,7.898551,07/31/2021--12:50:44
12,1.464266,07/31/2021--12:50:49
13,33.88325,07/31/2021--12:50:54
14,19.62916,07/31/2021--12:51:00
15,1.811272,07/31/2021--12:51:05
16,9.52428,07/31/2021--12:51:10
17,14.43121,07/31/2021--12:51:14
18,1.673114,07/31/2021--12:51:19
19,12.03541,07/31/2021--12:51:25
20,14.88798,07/31/2021--12:51:30
21,13.25449,07/31/2021--12:51:37
22,27.37815,07/31/2021--12:51:40
23,44.05553,07/31/2021--12:51:45
24,35.09032,07/31/2021--12:51:50
25,16.03571,07/31/2021--12:51:55
26,0.5070984,07/31/2021--12:52:00
27,41.37397,07/31/2021--12:52:06
28,21.34017,07/31/2021--12:52:10
29,37.3869,07/31/2021--12:52:15
30,44.36814,07/31/2021--12:52:20
31,40.22655,07/31/2021--12:52:25
32,0.8784235,07/31/2021--12:52:30
33,1.615798,07/31/2021--12:52:35
34,48.39351,07/31/2021--12:52:40
35,37.88528,07/31/2021--12:52:45
36,41.6784,07/31/2021--12:52:50
37,29.35844,07/31/2021--12:52:55
38,26.19295,07/31/2021--12:53:00
39,39.91911,07/31/2021--12:53:05
40,18.26554,07/31/2021--12:53:30
41,19.70508,07/31/2021--12:53:34
42,23.55108,07/31/2021--12:53:40
43,23.22429,07/31/2021--12:53:45
44,3.450644,07/31/2021--12:53:49
45,24.79313,07/31/2021--12:53:55
46,22.79966,07/31/2021--12:54:00
47,11.29426,07/31/2021--12:54:04
48,35.7026,07/31/2021--12:54:10
49,8.915865,07/31/2021--12:54:15
50,38.94183,07/31/2021--12:54:21
51,3.382659,07/31/2021--12:54:25
52,44.17691,07/31/2021--12:54:30
53,45.15653,07/31/2021--12:54:35
54,46.55261,07/31/2021--12:54:40
55,14.13648,07/31/2021--12:54:45
56,4.546332,07/31/2021--12:54:50
57,37.32329,07/31/2021--12:54:55
58,20.90088,07/31/2021--12:55:00
59,29.86478,07/31/2021--12:55:05
60,25.9696,07/31/2021--12:55:11
61,30.10923,07/31/2021--12:55:15
62,31.40337,07/31/2021--12:55:20
63,1.047587,07/31/2021--12:55:25
